MatchClubPlayerID,PlayerID,PlayerTypeID,MatchID,ClubID,SubstitutedForPlayer,SubstitutionTime,Played
180,363215,2,692716,13,,,0
181,265874,4,692716,13,,,0
182,319038,3,692716,13,,,0
183,316344,3,692716,13,,,0
184,234315,3,692716,17,,,0
185,235062,3,692716,17,,,0
186,146067,1,692716,17,,,0
187,252974,4,692720,19,,,1
188,255259,3,692720,19,,,1
189,185792,3,692720,19,,,1
190,254450,1,692720,19,,,1
191,321979,3,692720,19,,,1
192,83178,1,692720,19,,,1
193,258855,2,692720,19,,,1
194,268192,2,692720,19,,,1
195,315381,1,692720,19,352320.0,77',1
196,337149,1,692720,19,335238.0,72',1
197,250852,1,692720,19,259199.0,90'+2',1
198,217514,4,692720,9,,,1
199,333699,3,692720,9,,,1
200,337023,3,692720,9,340690.0,79',1
201,257114,3,692720,9,,,1
202,324048,2,692720,9,160974.0,66',1
203,320300,3,692720,9,,,1
204,307475,2,692720,9,,,1
205,177694,2,692720,9,380712.0,58',1
206,271884,2,692720,9,,,1
207,222678,1,692720,9,,,1
208,106957,1,692720,9,,,1
209,310827,1,692720,19,,,0
210,297380,3,692720,19,,,0
211,297381,2,692720,19,,,0
212,379908,1,692720,19,,,0
213,256444,4,692720,19,,,0
214,270669,3,692720,19,,,0
215,219661,4,692720,9,,,0
216,290347,4,692720,9,,,0
217,141316,4,692722,28,,,1
218,337361,3,692722,28,,,1
219,252562,3,692722,28,318514.0,62',1
220,227734,3,692722,28,,,1
221,217254,2,692722,28,,,1
222,279758,2,692722,28,319389.0,72',1
223,329273,1,692722,28,,,1
224,298072,3,692722,28,302060.0,62',1
225,275798,1,692722,28,298071.0,85',1
226,184221,2,692722,28,,,1
227,180956,1,692722,28,,,1
228,243410,4,692722,16,,,1
229,294222,3,692722,16,,,1
230,183796,3,692722,16,,,1
231,246392,3,692722,16,191693.0,85',1
232,245098,3,692722,16,,,1
233,152168,2,692722,16,,,1
234,216609,2,692722,16,,,1
235,317465,2,692722,16,237002.0,44',1
236,250685,1,692722,16,155529.0,72',1
237,325410,1,692722,16,,,1
238,231574,2,692722,16,261168.0,72',1
239,348318,1,692722,28,,,0
240,294040,4,692722,28,,,0
241,371481,2,692722,28,,,0
242,266022,1,692722,28,,,0
243,249699,2,692722,16,,,0
244,222188,3,692722,16,,,0
245,216999,4,692722,16,,,0
246,303693,4,692723,3,,,1
247,221602,3,692723,3,,,1
248,192080,3,692723,3,,,1
249,271427,3,692723,3,,,1
250,141584,3,692723,3,,,1
251,136775,2,692723,3,304317.0,28',1
252,279977,2,692723,3,144509.0,45',1
253,159478,2,692723,3,,,1
254,235511,1,692723,3,,,1
255,233047,1,692723,3,,,1
256,249943,1,692723,3,,,1
257,304625,4,692723,23,,,1
258,147197,3,692723,23,,,1
259,295620,2,692723,23,,,1
260,243168,3,692723,23,294874.0,73',1
261,235485,3,692723,23,,,1
262,153613,2,692723,23,199822.0,82',1
263,265977,2,692723,23,82716.0,74',1
264,296109,2,692723,23,,,1
265,186385,1,692723,23,,,1
266,350481,2,692723,23,172605.0,82',1
267,330924,2,692723,23,148356.0,56',1
268,293671,2,692723,3,,,0
269,240785,4,692723,3,,,0
270,270788,3,692723,3,,,0
271,160971,3,692723,3,,,0
272,245068,3,692723,3,,,0
273,157111,4,692723,23,,,0
274,384049,3,692723,23,,,0
275,374519,1,692723,23,,,0
276,16151,4,692724,10,,,1
277,314952,3,692724,10,,,1
278,315921,3,692724,10,,,1
279,171623,3,692724,10,,,1
280,267116,2,692724,10,249728.0,83',1
281,236342,2,692724,10,,,1
282,255910,2,692724,10,,,1
283,219508,2,692724,10,,,1
284,287464,2,692724,10,88455.0,71',1
285,287444,1,692724,10,,,1
286,251673,2,692724,10,146866.0,62',1
287,183780,4,692724,2,,,1
288,238438,3,692724,2,,,1
289,171628,3,692724,2,,,1
290,304696,3,692724,2,,,1
291,231047,3,692724,2,,,1
292,195334,2,692724,2,,,1
293,316077,2,692724,2,219091.0,85',1
294,158329,2,692724,2,,,1
295,162946,1,692724,2,182610.0,75',1
296,216183,1,692724,2,318486.0,71',1
297,171547,2,692724,2,178062.0,71',1
298,289300,1,692724,10,,,0
299,182138,2,692724,10,,,0
300,380677,3,692724,10,,,0
301,329364,2,692724,10,,,0
302,233049,4,692724,10,,,0
303,176044,3,692724,10,,,0
304,259805,3,692724,2,,,0
305,156394,3,692724,2,,,0
306,249729,4,692724,2,,,0
307,146468,4,692725,26,,,1
308,135294,3,692725,26,,,1
309,195675,3,692725,26,,,1
310,196978,3,692725,26,,,1
311,286760,2,692725,26,,,1
312,136135,1,692725,26,,,1
313,183615,2,692725,26,,,1
314,207894,2,692725,26,,,1
315,313069,1,692725,26,100525.0,54',1
316,233050,1,692725,26,,,1
317,199926,2,692725,26,,,1
318,175906,4,692725,27,,,1
319,319055,3,692725,27,,,1
320,217009,3,692725,27,,,1
321,281323,3,692725,27,291551.0,88',1
322,252749,3,692725,27,,,1
323,266026,2,692725,27,318536.0,64',1
324,220478,2,692725,27,,,1
325,289938,2,692725,27,308772.0,64',1
326,150409,1,692725,27,,,1
327,338135,2,692725,27,,,1
328,272154,2,692725,27,356979.0,73',1
329,306544,3,692725,26,,,0
330,215186,2,692725,26,,,0
331,216998,1,692725,26,,,0
332,303521,3,692725,26,,,0
333,272505,4,692725,26,,,0
334,253176,3,692725,26,,,0
335,378656,1,692725,26,,,0
336,286194,3,692725,26,,,0
337,67671,3,692725,27,,,0
338,261518,2,692725,27,,,0
339,252831,3,692725,27,,,0
340,178054,4,692725,27,,,0
341,219276,4,692726,7,,,1
342,180719,3,692726,7,,,1
343,358975,3,692726,7,,,1
344,260912,3,692726,7,280510.0,64',1
345,233045,3,692726,7,,,1
346,252351,2,692726,7,308969.0,87',1
347,277392,2,692726,7,287471.0,87',1
348,315920,2,692726,7,,,1
349,288791,1,692726,7,304623.0,80',1
350,281523,1,692726,7,252818.0,69',1
351,293695,1,692726,7,251801.0,80',1
352,238919,4,692726,8,,,1
353,132237,3,692726,8,283453.0,64',1
354,256489,3,692726,8,,,1
355,233460,3,692726,8,,,1
356,148614,2,692726,8,297142.0,76',1
357,252901,2,692726,8,297177.0,90'+1',1
358,180955,2,692726,8,280931.0,64',1
359,159491,1,692726,8,,,1
360,307221,1,692726,8,318373.0,55',1
361,197354,1,692726,8,348870.0,55',1
362,277128,1,692726,8,,,1
363,380600,1,692726,7,,,0
364,380601,1,692726,7,,,0
365,360855,4,692726,7,,,0
366,249711,3,692726,8,,,0
367,293833,3,692726,8,,,0
368,156197,4,692726,8,,,0
369,43372,4,692728,12,,,1
370,201103,3,692728,12,199904.0,8',1
371,127512,2,692728,12,,,1
372,127512,3,692728,12,,,1
