MatchClubPlayerID,Saves,Fouls,YellowCards,RedCards
0,4,0,0,0
1,3,0,0,0
26,0,0,0,0
27,0,0,0,0
33,1,0,0,0
34,3,0,0,0
59,0,0,0,0
62,0,0,0,0
65,3,0,0,0
66,1,1,0,0
90,0,0,0,0
95,0,0,0,0
96,4,1,0,0
97,4,0,0,0
121,0,0,0,0
124,0,0,0,0
129,2,0,0,0
130,4,0,0,0
155,0,0,0,0
159,0,0,0,0
166,4,0,0,0
167,3,0,0,0
188,0,0,0,0
194,0,0,0,0
198,1,0,0,0
199,3,0,0,0
221,0,0,0,0
228,0,0,0,0
230,7,0,0,0
253,0,0,0,0
258,0,0,0,0
259,2,0,0,0
260,4,0,0,0
286,0,0,0,0
288,3,0,0,0
289,5,0,0,0
310,0,0,0,0
320,0,0,0,0
321,0,1,0,0
322,7,0,0,0
346,0,0,0,0
349,0,0,0,0
352,2,0,0,0
353,0,1,0,0
377,0,0,0,0
382,0,0,0,0
386,3,0,0,0
387,5,0,0,0
408,0,0,0,0
414,0,0,0,0
417,6,0,0,0
418,1,2,0,0
441,0,0,0,0
445,0,0,0,0
447,4,0,0,0
448,5,0,0,0
473,0,0,0,0
479,0,0,0,0
480,4,0,0,0
481,1,0,0,0
502,0,0,0,0
513,5,0,0,0
514,7,0,0,0
537,0,0,0,0
540,0,0,0,0
542,4,0,0,0
543,5,0,0,0
569,0,0,0,0
572,5,0,0,0
573,3,0,0,0
594,0,0,0,0
599,0,0,0,0
604,3,0,0,0
605,4,0,0,0
626,0,0,0,0
630,0,0,0,0
634,5,0,0,0
635,4,0,0,0
657,0,0,0,0
661,0,0,0,0
666,5,0,0,0
667,2,0,0,0
693,0,0,0,0
695,0,0,0,0
698,1,0,0,0
699,2,0,0,0
720,0,0,0,0
724,0,0,0,0
725,2,0,0,0
726,2,0,0,0
748,0,0,0,0
753,0,0,0,0
755,1,0,0,0
756,5,0,0,0
779,0,0,0,0
786,0,0,0,0
791,3,0,0,0
792,2,0,0,0
814,0,0,0,0
818,0,0,0,0
819,0,0,0,0
822,3,1,0,0
823,3,0,0,0
846,0,0,0,0
852,0,0,0,0
854,2,0,0,0
855,4,0,0,0
878,0,0,0,0
886,0,0,0,0
887,0,0,0,0
888,5,0,0,0
909,0,0,0,0
917,6,0,0,0
940,0,0,0,0
943,0,0,0,0
947,6,0,0,0
948,2,0,0,0
969,0,0,0,0
974,0,0,0,0
977,0,0,0,0
978,5,0,0,0
1004,0,0,0,0
1007,0,0,0,0
1010,3,0,0,0
1011,6,0,0,0
