MatchClubPlayerID,PlayerID,PlayerTypeID,MatchID,ClubID,SubstitutedForPlayer,SubstitutionTime,Played
182,315381,1,660066,19,,,1
183,304317,1,660066,3,75574.0,65',1
184,288930,1,660066,19,,,1
185,303577,2,660066,3,,,1
186,335238,1,660066,19,297381.0,84',1
187,233047,1,660066,3,259951.0,65',1
188,256444,4,660066,19,,,0
189,310827,1,660066,19,,,0
190,276287,1,660066,19,,,0
191,328239,3,660066,19,,,0
192,227931,3,660066,19,,,0
193,285383,2,660066,19,,,0
194,240785,4,660066,3,,,0
195,270788,3,660066,3,,,0
196,249278,1,660066,3,,,0
197,141584,3,660066,3,,,0
198,141316,4,660060,28,,,1
199,231193,4,660060,20,,,1
200,318514,3,660060,28,359272.0,17',1
201,255476,3,660060,20,147256.0,78',1
202,252562,3,660060,28,,,1
203,196842,3,660060,20,,,1
204,175083,3,660060,28,,,1
205,271816,2,660060,20,236641.0,70',1
206,184221,2,660060,28,,,1
207,17478,3,660060,20,,,1
208,41952,2,660060,28,251673.0,81',1
209,233401,2,660060,20,,,1
210,232367,2,660060,28,302060.0,64',1
211,126619,2,660060,20,140468.0,61',1
212,298072,3,660060,28,,,1
213,291218,2,660060,20,,,1
214,275798,1,660060,28,298071.0,64',1
215,309410,1,660060,20,294071.0,61',1
216,139028,1,660060,28,,,1
217,288430,1,660060,20,250448.0,61',1
218,180956,1,660060,28,,,1
219,203304,2,660060,20,,,1
220,115989,2,660060,28,,,0
221,294040,4,660060,28,,,0
222,319427,1,660060,28,,,0
223,317468,2,660060,28,,,0
224,348318,1,660060,28,,,0
225,203974,3,660060,20,,,0
226,285939,2,660060,20,,,0
227,67518,2,660060,20,,,0
228,220389,4,660060,20,,,0
229,286785,2,660068,7,,,1
230,157111,4,660068,23,,,1
231,180719,3,660068,7,,,1
232,203329,3,660068,23,252540.0,72',1
233,358975,3,660068,7,,,1
234,147197,3,660068,23,,,1
235,245068,3,660068,7,,,1
236,295620,2,660068,23,,,1
237,280510,3,660068,7,146408.0,89',1
238,265977,2,660068,23,,,1
239,277392,2,660068,7,,,1
240,296109,2,660068,23,,,1
241,222453,2,660068,7,,,1
242,148356,2,660068,23,189531.0,89',1
243,297118,2,660068,7,315920.0,69',1
244,172605,2,660068,23,308969.0,72',1
245,288791,1,660068,7,,,1
246,235485,3,660068,23,,,1
247,242949,1,660068,7,281523.0,69',1
248,199822,1,660068,23,330924.0,72',1
249,293695,1,660068,7,304623.0,81',1
250,256450,1,660068,23,205657.0,45',1
251,130467,3,660068,7,,,0
252,251801,3,660068,7,,,0
253,238233,4,660068,7,,,0
254,233045,3,660068,7,,,0
255,262871,2,660068,7,,,0
256,374519,1,660068,23,,,0
257,82716,2,660068,23,,,0
258,304625,4,660068,23,,,0
259,322058,4,660056,11,,,1
260,238919,4,660056,8,,,1
261,105803,3,660056,11,,,1
262,283453,3,660056,8,,,1
263,234879,3,660056,11,131466.0,45',1
264,233460,3,660056,8,,,1
265,126248,3,660056,11,183779.0,82',1
266,248648,3,660056,8,240531.0,82',1
267,286198,2,660056,11,,,1
268,249711,3,660056,8,,,1
269,156187,2,660056,11,270611.0,63',1
270,148614,2,660056,8,,,1
271,297050,3,660056,11,237164.0,18',1
272,286516,1,660056,8,152732.0,82',1
273,179237,1,660056,11,,,1
274,245843,2,660056,8,252901.0,76',1
275,240110,1,660056,11,,,1
276,251571,1,660056,8,,,1
277,127502,2,660056,11,,,1
278,159491,1,660056,8,307221.0,76',1
279,318373,1,660056,8,216183.0,43',1
280,280680,2,660056,11,,,0
281,162716,1,660056,11,,,0
282,293674,1,660056,11,,,0
283,65434,2,660056,11,,,0
284,256489,3,660056,8,,,0
285,280931,2,660056,8,,,0
286,156197,4,660056,8,,,0
287,197354,1,660056,8,,,0
288,6746,4,660063,22,,,1
289,16151,4,660063,10,,,1
290,188305,3,660063,22,,,1
291,314952,3,660063,10,,,1
292,302907,3,660063,22,,,1
293,218058,3,660063,10,,,1
