216183,1,JÁDER RAFAEL OBRIAN
251571,1,JESÚS FERREIRA
316362,2,BENJAMIN REDZIC
70182,1,FRANCO JARA
171623,3,DANIEL STERES
194293,3,ADAM LUNDQVIST
156309,3,ZAREK VALENTIN
217009,3,TIM PARKER
315921,3,ETHAN BARTLOW
232755,3,TEENAGE HADEBE
256489,3,SAMUEL JUNQUA
24324,3,JUAN CASTILLA
215186,2,MEMO RODRIGUEZ
219508,2,ADALBERTO CARRASQUILLA
218440,2,MATÍAS VERA
188093,2,DARWIN CERÉN
267116,2,GRIFFIN DORSEY
211678,1,FAFÀ PICAULT
220573,1,COREY BAIRD
76584,1,DARWIN QUINTERO
99500,2,KIERAN GIBBS
318514,3,AIMÉ MABIKA
117724,2,BREK SHEA
85010,2,BLAISE MATUIDI
158604,2,ALEJANDRO POZUELO
121714,2,VICTOR ULLOA
266026,2,INDIANA VASSILEV
302238,2,BRYCE DUKE
235893,2,GREGORE 
147207,2,JOEVIN JONES
67310,2,GONZALO HIGUAÍN
222765,1,ARIEL LASSITER
254375,1,ROBBIE ROBINSON
280764,3,JULIÁN ARAUJO
169515,3,DERRICK WILLIAMS
231869,2,SÉGA COULIBALY
183779,3,ERIQ ZAVALETA
126248,3,KELVIN LEERDAM
103848,2,JORGE VILLAFAÑA
245773,2,NICK DEPUY
237164,3,RAHEEM EDWARDS
96526,3,JONATHAN PÉREZ
263560,3,CHASE GASPER
115989,2,VÍCTOR VÁZQUEZ
193171,2,MARKY DELGADO
75571,2,SACHA KLJESTAN
260173,2,EFRAIN ÁLVAREZ
285452,2,CARLOS HARVEY
133111,2,DANIEL AGUIRRE
280680,2,ADAM SALDAÑA
281523,1,KEVIN CABRAL
235949,1,SAMUEL GRANDSIR
146419,1,JAVIER HERNÁNDEZ
291252,1,CAMERON DUNBAR
240110,1,DEJAN JOVELJIC
65434,2,JONATHAN BOND
245085,2,JONATHAN KLINSMANN
197050,3,JESÚS MURILLO
199904,3,EDDIE SEGURA
276615,3,DIEGO PALACIOS
304169,3,ERIK DUEÑAS
183758,3,RYAN HOLLINGSHEAD
233460,3,SEBASTIEN IBEAGHA
150185,2,ILIE SÁNCHEZ
251673,2,LATIF BLESSING
241245,2,JOSÉ CIFUENTES
159478,2,KELLYN ACOSTA
23761,2,ANTONIO LEONE
208046,2,JHEGSON MÉNDEZ
186385,1,CRISTIAN ARANGO
76098,2,CARLOS VELA
304170,2,CHRISTIAN TORRES
308587,1,KWADWO OPOKU
293668,1,CAL JENNINGS
232052,2,BAKAYE DIBASSY
235062,3,BRENT KALLMAN
101934,3,MICHAEL BOXALL
150315,3,ROMAIN MÉTANIRE
260213,3,D.J. TAYLOR
317737,3,NABILAI KIBUNGUCHY
217325,3,ONIEL FISHER
193663,3,KEMAR LAWRENCE
249706,2,JACORI HAYES
167140,2,FRANCO FRAGAPANE
286669,2,JOSEPH ROSALES
233326,2,EMANUEL REYNOSO
195992,2,ROBIN LOD
183726,2,WIL TRAPP
318536,2,AZIEL JACKSON
245570,2,HASSANI DOTSON
251802,2,NIKO HANSEN
251804,1,ABU DANLADI
252934,2,JUSTIN MCMASTER
315922,1,PATRICK WEAH
201353,3,DANIEL LOVITZ
222188,3,DAVE ROMNEY
255501,3,JACK MAHER
187782,3,ERIC MILLER
266454,3,JOSH BAUER
234315,3,TAYLOR WASHINGTON
253176,3,ROBERT CASTELLANOS
183764,3,WALKER ZIMMERMAN
256518,2,HANDWALLA BWANA
75577,2,DAX MCCARTY
223034,2,RANDALL LEAL
174548,2,HANY MUKHTAR
294219,2,IRAKOZE DONASIYANO
233041,2,ALEX MUYL
116825,2,ANÍBAL GODOY
253255,2,LUKE HAAKENSON
254292,2,BRIAN ANUNGA
8894,2,SEAN DAVIS
257062,1,AKÉ ARNAUD LOBA
254285,1,ETHAN ZUBAK
146067,1,TEAL BUNBURY
156239,2,C.J. SAPONG
156153,2,BRYAN MEREDITH
183796,3,ANDREW FARRELL
132237,3,OMAR GONZÁLEZ
294222,3,HENRY KESSLER
241486,3,CHRISTIAN MAKOUN
245451,3,BRANDON BYE
257193,3,JONATHAN BELL
249985,3,DEJUAN JONES
146042,2,A.J. DELAGARZA
205386,2,WILFRID KAPTOUM
216609,2,MATT POLSTER
152168,2,CARLES GIL
191693,2,EMMANUEL BOATENG
316383,2,MACIEL 
201350,2,THOMAS MCNAMARA
117830,1,GUSTAVO BOU
267113,2,JUSTIN RENNICKS
193898,2,ISMAEL TAJOURI-SHRADI
299185,1,DAMIAN RIVERA
97401,2,BRAD KNIGHTON
164106,2,CLÉMENT DIOP
252816,3,CHRIS GLOSTER
146027,3,ANTON TINNERHOLM
127512,2,MAXIME CHANOT
144989,3,ALEXANDER CALLENS
271075,3,MALTE AMUNDSEN
297380,3,TAYVON GRAY
317974,2,VUK LATINOVICH
153289,2,ALFREDO MORALES
70624,2,MAXI MORÁLEZ
297381,2,ANDRES JASSON
192048,2,GEDION ZELALEM
285757,2,NICOLÁS ACEVEDO
268192,2,KEATON PARKS
285383,2,JUSTIN HAAK
144012,1,THIAGO ANDRADE
148320,1,HÉBER 
83178,1,SANTIAGO RODRÍGUEZ
288930,1,TALLES MAGNO 
235594,2,CODY MIZELL
182014,3,ANDRÉS REYES
252481,3,KYLE DUNCAN
242942,3,DYLAN NEALIS
230822,3,SEAN NEALIS
270302,3,CAMERON HARPER
201103,3,AARON LONG
279290,3,JOHN TOLKIN
283228,2,FRANKIE AMAYA
181028,2,LEWIS MORGAN
260887,2,DRU YEARWOOD
315924,2,WIKELMAN CARMONA
252818,2,OMIR FERNANDEZ
271244,2,CRISTIAN CÁSSERES JR.
302991,2,CADEN CLARK
258065,2,PATRYK KLIMALA
249926,1,TOM BARLOW
251864,3,RUAN 
68802,3,JOAO MOUTINHO
147256,3,ROBIN JANSSON
255476,3,RODRIGO SCHLEGEL
236641,3,KYLE SMITH
196842,3,ANTÔNIO CARLOS 
17478,3,MICHAEL HALLIDAY
140468,2,MAURICIO PEREYRA
203304,2,JÚNIOR URSO 
259199,2,ANDRÉS PEREA
228005,2,JAKE MULRANEY
249705,2,JOSEPH DEZART
93011,1,ALEXANDRE PATO 
201478,2,TESHO AKINDELE
273769,1,BENJI MICHEL
252812,3,MATTHEW REAL
233813,3,JACK ELLIOTT
234962,3,JAKOB GLESNES
246855,3,OLIVIER MBAIZO
304133,3,ANTON SORENSON
286778,3,NATHAN HARRIEL
261317,3,KAI WAGNER
304135,3,BRANDAN CRAIG
257844,2,DÁNIEL GAZDAG
287014,2,JOSÉ MARTÍNEZ
134066,2,ALEJANDRO BEDOYA
286777,2,COLE TURNER
303512,2,JACK MCGLYNN
271536,2,JESÚS BUENO
304129,2,PAXTEN AARONSON
307491,2,LEON FLACH
304130,2,QUINN SULLIVAN
262566,1,JULIÁN CARRANZA
227598,1,CORY BURKE
181735,2,JOSÉ VAN RANKIN
235873,3,CLAUDIO BRAVO
188305,3,DARIO ZUPARIC
302907,3,ZAC MCGRAW
159461,3,BILL TUILOMA
288792,2,PABLO BONILLA
98448,3,LARRYS MABIALA
76914,2,SEBASTIÁN BLANCO
231057,2,ERYK WILLIAMSON
201102,2,GEORGE FOCHIVE
71042,2,DIEGO CHARÁ
228578,2,CRISTHIAN PAREDES
197425,2,YIMMI CHARÁ
252944,2,MARVIN LORÍA
252820,2,BLAKE BODILY
202539,1,FELIPE MORA
233266,2,JAROSLAW NIEZGODA
171513,1,DAIRON ASPRILLA
285201,1,SANTIAGO MORENO
235485,3,ANDREW BRODY
203329,3,JUSTEN GLAD
304374,3,ERIK HOLT
256210,3,AARON HERRERA
88374,3,MARCELO SILVA
228390,2,PABLO RUIZ
189531,2,DAMIR KREILACH
156215,2,JUSTIN MERAM
183792,2,SCOTT CALDWELL
172605,2,MAIKEL CHANG
295620,2,BODE HIDALGO
205657,2,RUBIO RUBÍN
199822,1,ANDERSON JULIO
256450,1,DANIEL MUSOVSKI
303458,2,JEFFREY DEWSNUP
229876,3,PAUL MARIE
210438,3,NATHAN CARDOSO
231150,3,TANNER BEASON
200839,3,TOMMY THOMPSON
207238,2,ERIC REMEDI
117864,2,SHEA SALINAS
73200,2,CRISTIAN ESPINOZA
251806,2,JACKSON YUEILL
246337,2,JACK SKAHAN
182138,2,JAN GREGUS
227441,2,JAMIRO MONTEIRO
201581,2,JUDSON 
251805,1,JEREMY EBOBISSE
273768,1,SIAD HAJI
302893,1,BENJAMIN KIKANOVIC
285698,1,CADE COWELL
240101,2,ANTON WALKES
252825,3,JAYLIN LINDSEY
113752,3,HARRISON AFFUL
163238,3,JOSEPH MORA
240232,2,DERRICK JONES
351302,1,DANIEL RÍOS
230239,2,ANDRE SHINYASHIKI
225606,1,MCKINZE GAINES
184976,2,YORDY REYNA
223042,2,ADRIÁN ZENDEJAS
204067,3,XAVIER ARREAGA
252474,3,NOUHOU TOLO
256514,3,ALEX ROLDAN
206682,3,YEIMAR GÓMEZ
141815,3,ABDOULAYE CISSOKO
201606,2,JOÃO PAULO 
216617,2,CRISTIAN ROLDAN
105957,2,NICOLÁS LODEIRO
171573,2,ALBERT RUSNÁK
304120,2,REED BAKER-WHITING
171650,2,KELYN ROWE
300110,2,LÉO CHÚ 
268173,2,THOMAS ANDREWS
290589,2,ETHAN DOBBELAERE
318554,2,OBED VARGAS
280765,2,DANIEL LEYVA
277851,2,JOSHUA ATENCIO
158640,1,RAÚL RUIDÍAZ
70745,2,FREDY MONTERO
210252,1,JORDAN MORRIS
156324,2,WILL BRUIN
259141,2,ALFONSO OCAMPO-CHÁVEZ
201324,3,BEN SWEAT
135294,3,ANDREU FONTÀS
147064,3,NICOLAS ISIMAT-MIRIN
132374,2,GRAHAM ZUSI
230220,2,KORTNE FORD
306544,3,KAYDEN PIERRE
272173,3,KAVEH RAD
162768,2,ORIOL ROSELL
288714,2,GADI KINDA
117713,2,ROGER ESPINOZA
252999,2,FELIPE HERNÀNDEZ
315925,2,OSVALDO CISNEROS
290355,2,CAMERON DUKE
183615,2,RÉMI WALTER
100525,1,JOHNNY RUSSELL
136135,1,ALAN PULIDO
216998,1,KHIRY SHELTON
233050,1,DÁNIEL SALLÓI
230626,3,RICHIE LARYEA
131466,2,CHRIS MAVINGA
175083,3,SHANE O'NEILL
41952,2,MICHAEL BRADLEY
237002,2,MARK-ANTHONY KAYE
184221,2,JONATHAN OSORIO
302060,1,JAHKEELE MARSHALL-RUTTY
280612,1,JAYDEN NELSON
266022,1,AYO AKINOLA
286214,1,JACOB SHAFFELBURG
280615,1,JORDAN PERRUZZA
238859,2,MARCUS GODINHO
232367,2,CRISTIÁN GUTIÉRREZ
302798,3,RANKO VESELINOVIC
256476,3,TRISTAN BLACKMON
167862,3,LUÍS MARTINS
172540,3,ERIK GODOY
257622,3,JAVAIN BROWN
121010,2,FLORIAN JUNGWIRTH
252831,3,JAKOB NERWINSKI
295771,2,SEBASTIAN BERHALTER
301857,2,LEONARD OWUSU
251800,2,JULIAN GRESSEL
173404,2,RYAN GAULD
295727,2,RYAN RAPOSO
297116,2,KAMRON HABIBULLAH
157071,2,RUSSELL TEIBERT
297150,2,PEDRO VITE
266579,1,DEIBER CAICEDO
172596,1,LUCAS CAVALLINI
222678,1,CRISTIÁN DÁJOME
249490,1,BRIAN WHITE
101759,2,TOSAINT RICKETTS
263224,3,JUAN JOSÉ PURATA
304152,3,CALEB WILEY
267206,3,AIDEN MCFADDEN
319441,3,NOAH COBB
277208,2,THIAGO ALMADA
285358,2,EDWIN MOSQUERA
208436,1,RONALDO CISNEROS
266028,2,JUSTIN GARCES
133099,3,RUBEN GABRIELSEN
286803,3,KIPP KELLER
219091,2,JHOJAN VALENCIA
178062,2,EMILIANO RIGONI
228483,1,WASHINGTON COROZO
261401,3,GABRIELE CORBO
297115,3,KEESEAN FERDINAND
297107,2,TOMAS GIRALDO
292944,1,JOJEA KWIZERA
75574,1,KEI KAMARA
288478,2,JAN SOBOCINSKI
287360,2,ADAM ARMOUR
254142,3,GUZMÁN CORUJO
156506,3,NATHAN BYRNE
312130,3,ADILSON MALANDA
37323,2,CHRISTIAN FUCHS
336523,3,KOA SANTOS
275984,2,NUNO SANTOS
270829,2,JORDY ALCIVAR
246371,2,BRANDT BRONICO
288060,2,BENJAMIN BENDER
291746,2,CHRISTOPHER HEGARDT
294187,2,QUINN MCNEILL
235672,1,KAMIL JOZWIAK
220851,1,KAROL SWIDERSKI
340596,1,KERWIN VARGAS
221602,3,RAFAEL CZICHOS
319024,3,KENDALL BURKS
136775,2,XHERDAN SHAQIRI
330207,2,SERGIO OREGEL
249278,1,JAIRO TORRES
285629,1,JHON DURÁN
329628,1,MISSAEL RODRIGUEZ
293831,1,VICTOR BEZERRA
341451,2,MIHAJLO MISKOVIC
281323,3,ANTHONY MARKANICH
287768,2,MAX 
148306,2,FELIPE GUTIÉRREZ
178754,2,SAM NICHOLSON
299527,2,PHILIP MAYAKA
159502,3,MILOS DEGENEK
334227,3,WILLIAM SANDS
254299,3,JAKE MORRIS
317021,3,MOHAMED FARSI
173386,2,YAW YEBOAH
293826,2,AIDAN MORRIS
296221,2,SEAN ZAWADZKI
336809,1,CUCHO HERNÁNDEZ
297121,1,JACEN RUSSELL-ROWE
276138,3,GAOUSSOU SAMAKE
153510,3,VICTOR PALSSON
337023,3,MATAI AKINMBONI
220478,2,CHRISTOPHER DURKIN
333740,2,SOFIANE DJEFFAL
324048,2,JACKSON HOPKINS
288873,2,THEODORE KU-DIPIETRO
153297,2,RAVEL MORRISON
160974,2,MARTÍN RODRÍGUEZ
340690,1,KRISTIAN FLETCHER
183154,1,TAXIARCHIS FOUNTAS
106957,1,CHRISTIAN BENTEKE
187273,3,MATT MIAZGA
171677,3,RAYMON GADDIS
296216,3,IAN MURPHY
275106,2,OBINNA NWOBODO
336552,2,HARRISON ROBLEDO
180468,2,JÚNIOR MORENO
333738,1,NICHOLAS MARKANICH
331611,3,ISAIAH PARKER
333699,3,LUCAS BARTLETT
286517,3,JOSHUÉ QUIÑÓNEZ
269153,3,NANU 
280931,2,TSIKI NTSABELENG
318373,1,BERNARD KAMUNGO
286516,1,ALAN VELASCO
232755,2,TEENAGE HADEBE
201498,3,ZECA 
314952,3,MICAEL 
146866,2,HÉCTOR HERRERA
301284,2,MARCELO PALOMINO
329364,2,BROOKLYN RAINES
301523,2,THIAGO 
