,PlayerID,PlayerTypeID,ClubID,DateStarted
7032,159296,3,21,2021-01-01
7043,225615,3,11,2021-01-01
7049,225615,3,27,2021-01-01
7068,225615,3,4,2021-01-01
7086,225615,3,8,2021-01-01
7100,201354,3,4,2021-01-01
7186,255237,3,4,2021-01-01
7222,201914,3,4,2021-01-01
7246,118125,2,4,2021-01-01
7301,175303,3,4,2021-01-01
7327,180468,3,4,2021-01-01
7379,180468,3,9,2021-01-01
7406,229883,2,4,2021-01-01
7445,199958,2,4,2021-01-01
7542,279454,2,4,2021-01-01
7626,171673,1,4,2021-01-01
7691,257744,1,4,2021-01-01
7754,214446,1,4,2021-01-01
7770,214446,1,21,2021-01-01
7797,293695,1,7,2021-01-01
7821,293695,1,4,2021-01-01
7833,217281,1,4,2021-01-01
7861,217281,1,7,2021-01-01
7870,217281,1,17,2021-01-01
7872,252814,1,4,2021-01-01
7880,228620,1,4,2021-01-01
7948,320956,1,4,2021-01-01
7992,308786,2,4,2021-01-01
7993,240531,2,8,2021-01-01
8068,248648,3,8,2021-01-01
8135,248648,3,12,2021-01-01
8161,283453,3,8,2021-01-01
8246,249711,3,8,2021-01-01
8326,171628,3,2,2021-01-01
8339,171628,3,28,2021-01-01
8352,171628,3,8,2021-01-01
8400,200937,2,8,2021-01-01
8460,286198,2,11,2021-01-01
8477,286198,2,8,2021-01-01
8546,180955,2,8,2021-01-01
8576,180955,2,16,2021-01-01
8594,180955,2,11,2021-01-01
8616,269158,2,28,2021-01-01
8638,269158,2,8,2021-01-01
8680,245843,2,8,2021-01-01
8750,264411,2,8,2021-01-01
8776,167806,2,8,2021-01-01
8779,301469,1,8,2021-01-01
8810,159491,1,8,2021-01-01
8871,159491,1,9,2021-01-01
8890,216183,1,2,2021-01-01
8898,216183,1,8,2021-01-01
8964,251571,1,8,2021-01-01
9048,316362,2,8,2021-01-01
9065,70182,1,8,2021-01-01
9086,171623,3,10,2021-01-01
9138,171623,3,11,2021-01-01
9160,194293,3,2,2021-01-01
9174,194293,3,10,2021-01-01
9233,156309,3,14,2021-01-01
9264,156309,3,10,2021-01-01
9321,217009,3,27,2021-01-01
9357,217009,3,10,2021-01-01
9421,315921,3,10,2021-01-01
9480,232755,3,10,2021-01-01
