MatchID,Location,Date,Attendance
659953,Houston Texas USA ,2023-08-30,10873
659952,Saint Paul Minnesota USA ,2023-08-30,19634
659951,St. Louis Missouri USA ,2023-08-30,22423
659955,Portland Oregon USA ,2023-08-30,21320
659954,San Jose California USA ,2023-08-30,16224
659942,Saint Paul Minnesota USA ,2023-08-27,19812
659936,Atlanta Georgia USA ,2023-08-26,67514
659935,Montreal Canada ,2023-08-26,19619
659934,Charlotte North Carolina USA ,2023-08-26,37809
659933,Columbus Ohio USA ,2023-08-26,20548
659932,Washington District of Columbia USA ,2023-08-26,19215
659931,Cincinnati Ohio USA ,2023-08-26,25513
659930,Harrison New Jersey USA ,2023-08-26,26276
659929,Orlando Florida USA ,2023-08-26,22156
659937,Frisco Texas USA ,2023-08-26,18267
659938,Kansas City Kansas USA ,2023-08-26,18892
659939,Sandy Utah USA ,2023-08-26,21471
659941,Carson California USA ,2023-08-26,19762
659940,Portland Oregon USA ,2023-08-26,22674
659926,Los Angeles California USA ,2023-08-23,22017
659916,Columbus Ohio USA ,2023-08-20,20730
659920,New York New York USA ,2023-08-20,18606
659918,Harrison New Jersey USA ,2023-08-20,17872
659919,Toronto Canada ,2023-08-20,27518
659921,Chicago Illinois USA ,2023-08-20,18103
659922,Houston Texas USA ,2023-08-20,12670
659924,St. Louis Missouri USA ,2023-08-20,22423
659927,Seattle Washington USA ,2023-08-20,31149
659928,Vancouver Canada ,2023-08-20,16765
660069,Washington District of Columbia USA ,2023-07-19,20621
659901,Atlanta Georgia USA ,2023-07-15,43576
659905,Montreal Canada ,2023-07-15,18413
659902,Foxborough Massachusetts USA ,2023-07-15,29884
659903,Chester Pennsylvania USA ,2023-07-15,19363
659909,Chicago Illinois USA ,2023-07-15,18246
659907,Saint Paul Minnesota USA ,2023-07-15,19954
659904,Cincinnati Ohio USA ,2023-07-15,25513
659906,St. Louis Missouri USA ,2023-07-15,22423
659908,Austin Texas USA ,2023-07-15,20738
659910,Commerce City Colorado USA ,2023-07-15,16138
659911,Sandy Utah USA ,2023-07-15,20556
659914,Portland Oregon USA ,2023-07-15,24181
659913,Seattle Washington USA ,2023-07-15,32753
659912,Vancouver Canada ,2023-07-15,18354
659894,Foxborough Massachusetts USA ,2023-07-12,17615
659893,Harrison New Jersey USA ,2023-07-12,13439
659897,Houston Texas USA ,2023-07-12,11855
659898,Nashville Tennessee USA ,2023-07-12,30109
659895,Kansas City Kansas USA ,2023-07-12,17924
659876,Commerce City Colorado USA ,2023-07-12,17426
659896,Chicago Illinois USA ,2023-07-12,12496
659795,Los Angeles California USA ,2023-07-12,22010
659900,San Jose California USA ,2023-07-12,13577
659899,Vancouver Canada ,2023-07-12,14995
659880,Montreal Canada ,2023-07-08,19619
659882,Charlotte North Carolina USA ,2023-07-08,43613
659884,Columbus Ohio USA ,2023-07-08,20533
659881,Washington District of Columbia USA ,2023-07-08,19215
659883,Harrison New Jersey USA ,2023-07-08,20014
659879,Toronto Canada ,2023-07-08,26156
659886,Chicago Illinois USA ,2023-07-08,22348
659885,Houston Texas USA ,2023-07-08,16489
659887,Saint Paul Minnesota USA ,2023-07-08,19913
659889,Commerce City Colorado USA ,2023-07-08,18171
659888,Sandy Utah USA ,2023-07-08,20800
659890,Carson California USA ,2023-07-08,21269
659891,Los Angeles California USA ,2023-07-08,22033
659892,Vancouver Canada ,2023-07-08,16399
659878,New York New York USA ,2023-07-05,15122
659873,Fort Lauderdale Florida USA ,2023-07-04,14072
659874,Orlando Florida USA ,2023-07-04,17604
659875,Frisco Texas USA ,2023-07-04,19096
659586,Pasadena California USA ,2023-07-04,82110
659872,Atlanta Georgia USA ,2023-07-02,43527
659864,Columbus Ohio USA ,2023-07-01,20415
659860,Cincinnati Ohio USA ,2023-07-01,25513
659859,Fort Lauderdale Florida USA ,2023-07-01,17053
659862,Orlando Florida USA ,2023-07-01,22070
659861,Toronto Canada ,2023-07-01,26694
659866,Frisco Texas USA ,2023-07-01,19096
659865,Saint Paul Minnesota USA ,2023-07-01,19844
659868,Nashville Tennessee USA ,2023-07-01,30109
659867,Kansas City Kansas USA ,2023-07-01,18867
659869,St. Louis Missouri USA ,2023-07-01,22423
659863,Montreal Canada ,2023-07-01,16038
659870,Stanford California USA ,2023-07-01,42823
659871,Seattle Washington USA ,2023-07-01,31840
659846,Charlotte North Carolina USA ,2023-06-24,31515
659850,Columbus Ohio USA ,2023-06-24,20443
659849,Washington District of Columbia USA ,2023-06-24,18864
659845,Foxborough Massachusetts USA ,2023-06-24,24596
659847,Harrison New Jersey USA ,2023-06-24,16277
659848,Chester Pennsylvania USA ,2023-06-24,19535
659852,Kansas City Kansas USA ,2023-06-24,18032
659851,Austin Texas USA ,2023-06-24,20738
659854,Commerce City Colorado USA ,2023-06-24,16082
659853,Sandy Utah USA ,2023-06-24,19439
659856,Los Angeles California USA ,2023-06-24,22133
659855,Portland Oregon USA ,2023-06-24,22676
659858,San Jose California USA ,2023-06-24,15074
659857,Seattle Washington USA ,2023-06-24,30693
659836,Atlanta Georgia USA ,2023-06-21,42557
659835,Montreal Canada ,2023-06-21,16247
659832,Cincinnati Ohio USA ,2023-06-21,25513
659834,Harrison New Jersey USA ,2023-06-21,12178
659833,Orlando Florida USA ,2023-06-21,17516
659839,Houston Texas USA ,2023-06-21,14249
659840,St. Louis Missouri USA ,2023-06-21,22423
659844,Carson California USA ,2023-06-21,20960
659842,Los Angeles California USA ,2023-06-21,22125
659843,Portland Oregon USA ,2023-06-21,22548
659837,Austin Texas USA ,2023-06-21,20738
659826,New York City USA ,2023-06-17,30615
659828,Washington District of Columbia USA ,2023-06-17,19215
659827,Foxborough Massachusetts USA ,2023-06-17,21492
659830,Nashville Tennessee USA ,2023-06-17,30109
659829,Kansas City Kansas USA ,2023-06-17,19410
659831,San Jose California USA ,2023-06-17,14188
659713,Los Angeles California USA ,2023-06-14,22177
659824,St. Louis Missouri USA ,2023-06-11,22423
659825,Portland Oregon USA ,2023-06-11,22907
659814,Atlanta Georgia USA ,2023-06-10,42539
659815,Montreal Canada ,2023-06-10,17030
659813,Charlotte North Carolina USA ,2023-06-10,31563
659817,Foxborough Massachusetts USA ,2023-06-10,36235
659812,Toronto Canada ,2023-06-10,27228
659816,Orlando Florida USA ,2023-06-10,18711
659818,Chicago Illinois USA ,2023-06-10,18892
659820,Houston Texas USA ,2023-06-10,15366
659819,Kansas City Kansas USA ,2023-06-10,18885
659821,Sandy Utah USA ,2023-06-10,20301
659823,San Jose California USA ,2023-06-10,15512
659822,Vancouver Canada ,2023-06-10,16086
659725,Frisco Texas USA ,2023-06-07,19096
659811,Los Angeles California USA ,2023-06-07,22010
659798,New York City USA ,2023-06-03,22203
659799,Seattle Washington USA ,2023-06-03,42054
659802,Cincinnati Ohio USA ,2023-06-03,25513
659803,Fort Lauderdale Florida USA ,2023-06-03,15040
659800,Harrison New Jersey USA ,2023-06-03,19871
659804,Chester Pennsylvania USA ,2023-06-03,19245
659801,Columbus Ohio USA ,2023-06-03,20199
659805,Austin Texas USA ,2023-06-03,20738
659808,Frisco Texas USA ,2023-06-03,16890
659806,Saint Paul Minnesota USA ,2023-06-03,19743
659807,St. Louis Missouri USA ,2023-06-03,22423
659809,Commerce City Colorado USA ,2023-06-03,15038
659810,Vancouver Canada ,2023-06-03,13739
659787,Atlanta Georgia USA ,2023-05-31,42915
659789,Columbus Ohio USA ,2023-05-31,20223
659790,Washington District of Columbia USA ,2023-05-31,16342
659786,New York City USA ,2023-05-31,14806
659785,Chester Pennsylvania USA ,2023-05-31,18705
659788,Toronto Canada ,2023-05-31,22778
659791,Fort Lauderdale Florida USA ,2023-05-31,15136
659793,Austin Texas USA ,2023-05-31,20738
659794,Sandy Utah USA ,2023-05-31,17762
659792,Kansas City Kansas USA ,2023-05-31,17178
659797,Seattle Washington USA ,2023-05-31,30013
659796,Vancouver Canada ,2023-05-31,13232
659783,Kansas City Kansas USA ,2023-05-28,18514
659784,Nashville Tennessee USA ,2023-05-28,30109
659774,Montreal Canada ,2023-05-27,19619
659773,Foxborough Massachusetts USA ,2023-05-27,27293
659772,New York New York USA ,2023-05-27,22830
659771,Orlando Florida USA ,2023-05-27,20127
659775,Toronto Canada ,2023-05-27,27065
659777,Houston Texas USA ,2023-05-27,16055
659776,Saint Paul Minnesota USA ,2023-05-27,19912
659778,St. Louis Missouri USA ,2023-05-27,22423
659779,Commerce City Colorado USA ,2023-05-27,15438
659780,Carson California USA ,2023-05-27,17434
659782,San Jose California USA ,2023-05-27,13409
659781,Seattle Washington USA ,2023-05-27,31032
659759,Charlotte North Carolina USA ,2023-05-20,30526
659761,Washington District of Columbia USA ,2023-05-20,19215
659762,Cincinnati Ohio USA ,2023-05-20,25513
659757,Fort Lauderdale Florida USA ,2023-05-20,17643
659758,Harrison New Jersey USA ,2023-05-20,13436
659760,Chester Pennsylvania USA ,2023-05-20,19079
659765,Austin Texas USA ,2023-05-20,20738
659763,Chicago Illinois USA ,2023-05-20,18343
659764,Frisco Texas USA ,2023-05-20,19096
659766,Commerce City Colorado USA ,2023-05-20,15327
659767,St. Louis Missouri USA ,2023-05-20,22423
659770,Los Angeles California USA ,2023-05-20,22030
659768,Portland Oregon USA ,2023-05-20,22137
659769,Vancouver Canada ,2023-05-20,19108
659746,Atlanta Georgia USA ,2023-05-17,42587
659745,Charlotte North Carolina USA ,2023-05-17,29016
659744,Columbus Ohio USA ,2023-05-17,20192
659748,Cincinnati Ohio USA ,2023-05-17,23461
659750,Orlando Florida USA ,2023-05-17,17012
659747,Toronto Canada ,2023-05-17,22560
659749,Chester Pennsylvania USA ,2023-05-17,18689
659753,Frisco Texas USA ,2023-05-17,15890
659752,Saint Paul Minnesota USA ,2023-05-17,18897
659751,Nashville Tennessee USA ,2023-05-17,25839
659754,Sandy Utah USA ,2023-05-17,18020
659755,Los Angeles California USA ,2023-05-17,22222
659756,Seattle Washington USA ,2023-05-17,30026
659743,Carson California USA ,2023-05-14,16035
659730,Chicago Illinois USA ,2023-05-13,18231
659731,Atlanta Georgia USA ,2023-05-13,43427
659734,Montreal Canada ,2023-05-13,19619
659732,Columbus Ohio USA ,2023-05-13,20488
659736,Washington District of Columbia USA ,2023-05-13,19215
659733,Fort Lauderdale Florida USA ,2023-05-13,17349
659735,Harrison New Jersey USA ,2023-05-13,23121
659738,Austin Texas USA ,2023-05-13,20738
659739,Houston Texas USA ,2023-05-13,14061
659737,Kansas City Kansas USA ,2023-05-13,17851
659741,Commerce City Colorado USA ,2023-05-13,15006
659740,Sandy Utah USA ,2023-05-13,19407
659742,Portland Oregon USA ,2023-05-13,23154
659729,Seattle Washington USA ,2023-05-07,31620
659717,Montreal Canada ,2023-05-06,16112
659718,Charlotte North Carolina USA ,2023-05-06,30454
659719,Cincinnati Ohio USA ,2023-05-06,25513
659722,Fort Lauderdale Florida USA ,2023-05-06,16750
659716,Harrison New Jersey USA ,2023-05-06,18712
659720,Santa Clara California USA ,2023-05-06,45112
659721,Toronto Canada ,2023-05-06,27438
659724,Houston Texas USA ,2023-05-06,13793
659723,Nashville Tennessee USA ,2023-05-06,28611
659726,Carson California USA ,2023-05-06,19101
659727,Portland Oregon USA ,2023-05-06,23318
659728,Vancouver Canada ,2023-05-06,14047
659715,Saint Paul Minnesota USA ,2023-04-30,18410
659702,Nashville Tennessee USA ,2023-04-29,28793
659703,Columbus Ohio USA ,2023-04-29,20410
659706,Washington District of Columbia USA ,2023-04-29,19215
659705,Foxborough Massachusetts USA ,2023-04-29,30080
659707,Orlando Florida USA ,2023-04-29,22519
659704,Toronto Canada ,2023-04-29,21847
659709,Austin Texas USA ,2023-04-29,20738
659711,Chicago Illinois USA ,2023-04-29,11432
659708,Kansas City Kansas USA ,2023-04-29,18226
659710,St. Louis Missouri USA ,2023-04-29,22423
659712,Sandy Utah USA ,2023-04-29,20714
659714,Vancouver Canada ,2023-04-29,14103
659701,Atlanta Georgia USA ,2023-04-23,43335
659689,Montreal Canada ,2023-04-22,14021
659694,Charlotte North Carolina USA ,2023-04-22,30468
659692,Cincinnati Ohio USA ,2023-04-22,25513
659691,Foxborough Massachusetts USA ,2023-04-22,19281
659693,New York New York USA ,2023-04-22,20922
659688,Orlando Florida USA ,2023-04-22,19514
659690,Chester Pennsylvania USA ,2023-04-22,18533
659695,Houston Texas USA ,2023-04-22,16045
659696,Nashville Tennessee USA ,2023-04-22,30109
659698,Commerce City Colorado USA ,2023-04-22,15045
659697,Sandy Utah USA ,2023-04-22,16666
659700,Carson California USA ,2023-04-22,18875
659699,Seattle Washington USA ,2023-04-22,30025
659687,Carson California USA ,2023-04-16,27154
659677,Montreal Canada ,2023-04-15,16039
659678,Charlotte North Carolina USA ,2023-04-15,31240
659674,Columbus Ohio USA ,2023-04-15,20562
659679,New York New York USA ,2023-04-15,18687
659675,Toronto Canada ,2023-04-15,27892
659676,Harrison New Jersey USA ,2023-04-15,12932
659684,Austin Texas USA ,2023-04-15,20738
659683,Chicago Illinois USA ,2023-04-15,12811
659682,Frisco Texas USA ,2023-04-15,19096
659681,Saint Paul Minnesota USA ,2023-04-15,19685
659685,Portland Oregon USA ,2023-04-15,25218
659686,San Jose California USA ,2023-04-15,14212
659680,St. Louis Missouri USA ,2023-04-15,22423
659666,Washington District of Columbia USA ,2023-04-08,16891
659662,Cincinnati Ohio USA ,2023-04-08,25513
659664,Fort Lauderdale Florida USA ,2023-04-08,17287
659663,Los Angeles California USA ,2023-04-08,22199
659665,Foxborough Massachusetts USA ,2023-04-08,18021
