5926,4
6746,4
16151,4
43372,4
56935,4
71067,4
85074,4
127053,4
127444,4
131979,4
136944,4
141316,4
146406,4
146468,4
150070,4
150334,4
156197,4
156217,4
157111,4
157206,4
159382,4
159476,4
164649,4
171562,4
171660,4
172051,4
174703,4
175906,4
178054,4
183780,4
184300,4
184786,4
184960,4
186943,4
195301,4
215961,4
216999,4
217162,4
217514,4
218207,4
219276,4
219661,4
220389,4
220434,4
221408,4
224640,4
228348,4
231059,4
231193,4
233049,4
237259,4
238233,4
238919,4
240785,4
242928,4
242975,4
243410,4
243832,4
245083,4
246389,4
249729,4
249746,4
252607,4
252974,4
253495,4
254233,4
254291,4
254340,4
255097,4
256401,4
256444,4
256614,4
257619,4
262728,4
265874,4
268173,4
271850,4
272338,4
272505,4
273249,4
275080,4
277661,4
280839,4
286424,4
286774,4
288874,4
289824,4
290347,4
294040,4
295521,4
296166,4
296946,4
297047,4
297379,4
302906,4
303277,4
303555,4
303693,4
304625,4
305783,4
313969,4
315972,4
316317,4
316369,4
316463,4
318476,4
322058,4
331104,4
336586,4
360855,4
361005,4
365853,4
382614,4
